,Area,Classification
1245,ES_06040,0
1246,ES_06041,0
1247,ES_06042,0
1248,ES_06043,0
1249,ES_06044,1
1250,ES_06045,0
1251,ES_06046,0
1252,ES_06047,0
1253,ES_06048,0
1254,ES_06049,0
1255,ES_06050,2
1256,ES_06051,0
1257,ES_06052,0
1258,ES_06053,0
1259,ES_06054,0
1260,ES_06055,0
1261,ES_06056,0
1262,ES_06057,0
1263,ES_06058,0
1264,ES_06059,0
1265,ES_06060,2
1266,ES_06061,0
1267,ES_06062,0
1268,ES_06063,0
1269,ES_06064,0
1270,ES_06065,0
1271,ES_06066,0
1272,ES_06067,0
1273,ES_06068,0
1274,ES_06069,0
1275,ES_06070,2
1276,ES_06071,0
1277,ES_06072,0
1278,ES_06073,0
1279,ES_06074,0
1280,ES_06075,0
1281,ES_06076,0
1282,ES_06077,0
1283,ES_06078,0
1284,ES_06079,0
1285,ES_06080,0
1286,ES_06081,0
1287,ES_06082,0
1288,ES_06083,3
1289,ES_06084,0
1290,ES_06085,0
1291,ES_06086,0
1292,ES_06087,2
1293,ES_06088,2
1294,ES_06089,0
1295,ES_06090,0
1296,ES_06091,0
1297,ES_06092,0
1298,ES_06093,2
1299,ES_06094,0
1300,ES_06095,2
1301,ES_06096,0
1302,ES_06097,0
1303,ES_06098,0
1304,ES_06099,0
1305,ES_06100,0
1306,ES_06101,0
1307,ES_06102,0
1308,ES_06103,0
1309,ES_06104,0
1310,ES_06105,0
1311,ES_06106,0
1312,ES_06107,0
1313,ES_06108,0
1314,ES_06109,0
1315,ES_06110,0
1316,ES_06111,0
1317,ES_06112,0
1318,ES_06113,0
1319,ES_06114,0
1320,ES_06115,0
1321,ES_06116,0
1322,ES_06117,0
1323,ES_06118,0
1324,ES_06119,0
1325,ES_06120,0
1326,ES_06121,0
1327,ES_06122,0
1328,ES_06123,0
1329,ES_06124,0
1330,ES_06125,0
1331,ES_06126,0
1332,ES_06127,0
1333,ES_06128,0
1334,ES_06129,0
1335,ES_06130,0
1336,ES_06131,0
1337,ES_06132,0
1338,ES_06133,0
1339,ES_06134,0
1340,ES_06135,0
1341,ES_06136,0
1342,ES_06137,0
1343,ES_06138,0
1344,ES_06139,0
1345,ES_06140,0
1346,ES_06141,0
1347,ES_06142,0
1348,ES_06143,0
1349,ES_06144,0
1350,ES_06145,0
1351,ES_06146,0
1352,ES_06147,0
1353,ES_06148,0
1354,ES_06149,0
1355,ES_06150,0
1356,ES_06151,0
